Index,Magnitude,Place,Time,Type,Titel, Timestamp
1,2.6,8 km W of Happy Valley, Alaska,2024-01-09 22:36:28,earthquake,M 2.6 - 8 km W of Happy Valley, Alaska
2,2.1,63 km W of Nanwalek, Alaska,2024-01-09 22:36:18,earthquake,M 2.1 - 63 km W of Nanwalek, Alaska
3,0.28,10 km WNW of The Geysers, CA,2024-01-09 22:04:05,earthquake,M 0.3 - 10 km WNW of The Geysers, CA
4,0.31,34 km N of Ivanof Bay, Alaska,2024-01-09 21:49:41,earthquake,M 0.3 - 34 km N of Ivanof Bay, Alaska
5,2.2,2 km NE of Pinnacles, CA,2024-01-09 21:43:15,earthquake,M 2.2 - 2 km NE of Pinnacles, CA
6,1.8,56 km N of Petersville, Alaska,2024-01-09 21:34:08,earthquake,M 1.8 - 56 km N of Petersville, Alaska
7,1.45,3 km ENE of Rancho San Diego, CA,2024-01-09 21:30:00,earthquake,M 1.5 - 3 km ENE of Rancho San Diego, CA
8,1.4,15 km E of Desert Hot Springs, CA,2024-01-09 21:16:59,earthquake,M 1.4 - 15 km E of Desert Hot Springs, CA
9,1.9,59 km S of Denali National Park, Alaska,2024-01-09 21:13:44,earthquake,M 1.9 - 59 km S of Denali National Park, Alaska
10,2.4,53 km NW of Toyah, Texas,2024-01-09 21:12:42,earthquake,M 2.4 - 53 km NW of Toyah, Texas
11,2.07999992,10 km NE of Pāhala, Hawaii,2024-01-09 21:11:06,earthquake,M 2.1 - 10 km NE of Pāhala, Hawaii
12,0.83,7 km W of Saratoga, CA,2024-01-09 21:03:01,earthquake,M 0.8 - 7 km W of Saratoga, CA
13,1.2,60 km SSW of Goldfield, Nevada,2024-01-09 20:36:51,earthquake,M 1.2 - 60 km SSW of Goldfield, Nevada
14,1.6,15 km WSW of Point Possession, Alaska,2024-01-09 20:21:57,earthquake,M 1.6 - 15 km WSW of Point Possession, Alaska
15,2.02,2 km WSW of Lytle Creek, CA,2024-01-09 20:20:48,earthquake,M 2.0 - 2 km WSW of Lytle Creek, CA
16,4.0,7 km W of Nurhak, Turkey,2024-01-09 20:20:12,earthquake,M 4.0 - 7 km W of Nurhak, Turkey
17,1.7,41 km NW of Toyah, Texas,2024-01-09 20:17:46,earthquake,M 1.7 - 41 km NW of Toyah, Texas
18,1.8,30 km S of Petersville, Alaska,2024-01-09 20:11:28,earthquake,M 1.8 - 30 km S of Petersville, Alaska
19,0.12,26 km N of Ivanof Bay, Alaska,2024-01-09 20:10:44,earthquake,M 0.1 - 26 km N of Ivanof Bay, Alaska
20,1.6,18 km W of Healy, Alaska,2024-01-09 20:03:55,earthquake,M 1.6 - 18 km W of Healy, Alaska
21,1.26,7 km WSW of Gilroy, CA,2024-01-09 19:52:02,earthquake,M 1.3 - 7 km WSW of Gilroy, CA
22,0.77,5 km WNW of The Geysers, CA,2024-01-09 19:47:59,earthquake,M 0.8 - 5 km WNW of The Geysers, CA
23,1.28,13 km ENE of Borrego Springs, CA,2024-01-09 19:42:21,earthquake,M 1.3 - 13 km ENE of Borrego Springs, CA
24,2.1,54 km NW of Toyah, Texas,2024-01-09 19:40:00,earthquake,M 2.1 - 54 km NW of Toyah, Texas
25,2.5,14 km NNW of Sutcliffe, Nevada,2024-01-09 19:37:55,earthquake,M 2.5 - 14 km NNW of Sutcliffe, Nevada
26,1.8,51 km S of Whites City, New Mexico,2024-01-09 19:26:47,earthquake,M 1.8 - 51 km S of Whites City, New Mexico
27,1.7,54 km NW of Toyah, Texas,2024-01-09 19:23:00,earthquake,M 1.7 - 54 km NW of Toyah, Texas
28,2.3,9 km NE of Pāhala, Hawaii,2024-01-09 19:21:45,earthquake,M 2.3 - 9 km NE of Pāhala, Hawaii
29,0.7,10 km WNW of Garnet, CA,2024-01-09 19:12:18,earthquake,M 0.7 - 10 km WNW of Garnet, CA
30,1.09,4 km S of Idyllwild, CA,2024-01-09 18:43:55,earthquake,M 1.1 - 4 km S of Idyllwild, CA
31,1.7,2 km WSW of South Van Horn, Alaska,2024-01-09 18:42:07,earthquake,M 1.7 - 2 km WSW of South Van Horn, Alaska
32,1.43,14 km NE of Ashford, Washington,2024-01-09 18:38:43,earthquake,M 1.4 - 14 km NE of Ashford, Washington
33,2.05999994,10 km ENE of Pāhala, Hawaii,2024-01-09 18:32:30,earthquake,M 2.1 - 10 km ENE of Pāhala, Hawaii
34,1.7,24 km WSW of Point MacKenzie, Alaska,2024-01-09 18:14:21,earthquake,M 1.7 - 24 km WSW of Point MacKenzie, Alaska
35,2.0,10 km NW of Happy Valley, Alaska,2024-01-09 18:11:02,earthquake,M 2.0 - 10 km NW of Happy Valley, Alaska
36,0.5,24 km ESE of Little Lake, CA,2024-01-09 18:00:31,earthquake,M 0.5 - 24 km ESE of Little Lake, CA
37,2.25,7 km S of Pāhala, Hawaii,2024-01-09 17:52:50,earthquake,M 2.3 - 7 km S of Pāhala, Hawaii
38,5.4,129 km SE of Ollagüe, Chile,2024-01-09 17:47:25,earthquake,M 5.4 - 129 km SE of Ollagüe, Chile
39,1.82000005,10 km E of Pāhala, Hawaii,2024-01-09 17:44:26,earthquake,M 1.8 - 10 km E of Pāhala, Hawaii
40,1.36,1 km NW of The Geysers, CA,2024-01-09 17:41:04,earthquake,M 1.4 - 1 km NW of The Geysers, CA
41,1.76999998,5 km ENE of Pāhala, Hawaii,2024-01-09 17:33:04,earthquake,M 1.8 - 5 km ENE of Pāhala, Hawaii
42,1.7,44 km NW of Toyah, Texas,2024-01-09 17:31:27,earthquake,M 1.7 - 44 km NW of Toyah, Texas
43,1.8,57 km S of Whites City, New Mexico,2024-01-09 17:20:19,earthquake,M 1.8 - 57 km S of Whites City, New Mexico
44,1.6,118 km NW of Yakutat, Alaska,2024-01-09 17:19:29,earthquake,M 1.6 - 118 km NW of Yakutat, Alaska
45,2.11999989,5 km ENE of Pāhala, Hawaii,2024-01-09 16:57:51,earthquake,M 2.1 - 5 km ENE of Pāhala, Hawaii
46,2.6,47 km E of Pedro Bay, Alaska,2024-01-09 16:56:04,earthquake,M 2.6 - 47 km E of Pedro Bay, Alaska
47,1.6,65 km NNE of Van Horn, Texas,2024-01-09 16:55:59,earthquake,M 1.6 - 65 km NNE of Van Horn, Texas
